number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.68489,1,0
2,800,-99999,0,0.84337,1,1.2444
3,-1,0,-1,1.5942,0,0
4,-1,-99999,-1,1.3628,1,0
5,-1,-99999,-1,0.76453,1,0
6,-1,0,-1,1.0909,1,0
7,0,0,0,0.56334,1,1.0763
8,-1,0,-1,0.59401,1,0
9,-1,-99999,-1,0.7696,1,0
10,0,0,0,0.70105,1,1.0221
11,800,-99999,0,0.69638,1,0.93731
12,0,0,-45,1.235,0,3.252
13,-1,-99999,-1,0.94332,1,0
14,800,-99999,-45,1.0802,1,0.78538
15,-1,-99999,-1,0.70499,1,0
16,-1,0,-1,1.0427,1,0
17,-1,-99999,-1,0.75021,1,0
18,800,-99999,0,0.69272,1,1.0458
19,-1,-99999,-1,0.69275,1,0
20,-1,-99999,-1,1.1687,0,0
21,-1,-99999,-1,0.63973,1,0
22,-1,-99999,-1,0.93702,0,0
23,-1,-99999,-1,0.69244,1,0
24,-1,0,-1,0.78135,1,0
25,-1,-99999,-1,0.63757,1,0
26,-1,0,-1,1.7509,1,0
27,-1,-99999,-1,0.77355,1,0
28,0,0,0,1.4329,0,0.72192
29,0,-99999,0,0.70751,0,0.9565
30,-1,-99999,-1,0.92405,1,0
31,0,-99999,45,0.51632,1,0.78925
32,-1,0,-1,0.99596,1,0
33,-1,0,-1,0.55952,1,0
34,0,0,45,0.64755,1,0.9206
35,0,0,-45,0.83449,1,1.0996
36,-1,-99999,-1,0.86831,1,0
37,800,-99999,45,1.8172,1,0.96196
38,-1,-99999,-1,0.81751,1,0
39,0,-99999,0,1.7204,0,0.67353
40,-1,-99999,-1,1.1626,1,0
41,-1,-99999,-1,0.52725,1,0
42,-1,-99999,-1,0.59666,1,0
43,0,-99999,-45,1.1567,0,0.84585
44,800,-99999,0,1.0992,1,0.93243
45,-1,0,-1,1.684,1,0
46,-1,0,-1,0.7138,1,0
47,-1,-99999,-1,1.0239,1,0
48,800,-99999,45,0.5347,1,0.80763
49,-1,0,-1,0.59357,1,0
50,-1,0,-1,0.67376,1,0
51,-1,-99999,-1,0.84299,1,0
52,0,-99999,0,0.69145,1,0.94809
53,-1,-99999,-1,0.58132,1,0
54,-1,-99999,-1,0.53166,1,0
55,0,-99999,45,0.79834,1,1.0553
56,0,-99999,0,0.90464,1,1.1136
57,-1,-99999,-1,1.7944,1,0
58,-1,0,-1,0.73472,1,0
59,0,-99999,-45,0.95792,1,1.199
60,0,0,0,1.7865,0,1.0355
61,-1,-99999,-1,0.82881,1,0
62,0,0,45,1.2438,1,0.96483
63,-1,0,-1,0.86183,1,0
64,-1,0,-1,0.91078,1,0
65,800,-99999,-45,0.5995,1,0.80043
66,-1,-99999,-1,0.51638,1,0
67,-1,-99999,-1,0.7476,1,0
68,-1,-99999,-1,0.69011,1,0
69,-1,-99999,-1,0.70424,1,0
70,-1,0,-1,0.7246,1,0
71,-1,-99999,-1,0.69148,1,0
72,-1,-99999,-1,0.74404,1,0
1,-1,-99999,-1,0.91928,1,0
2,800,-99999,45,0.75531,1,1.0844
3,-1,0,-1,0.59366,1,0
4,-1,-99999,-1,0.56887,1,0
5,-1,-99999,-1,0.63185,0,0
6,-1,0,-1,0.6039,1,0
7,-1,-99999,-1,0.5358,1,0
8,-1,-99999,-1,0.45233,1,0
9,-1,0,-1,0.67637,0,0
10,-1,-99999,-1,0.82655,1,0
11,0,-99999,0,0.53068,1,0.91581
12,0,-99999,-45,1.4402,1,0.85729
13,-1,0,-1,1.0017,1,0
14,-1,-99999,-1,0.51867,1,0
15,800,-99999,45,0.50972,1,0.77475
16,800,-99999,0,0.77187,1,0.96481
17,0,0,-45,1.4126,1,1.1097
18,-1,0,-1,0.76948,1,0
19,0,0,45,1.4042,0,0.71718
20,800,-99999,0,1.3976,0,0.80659
21,-1,0,-1,0.56882,1,0
22,0,-99999,0,1.672,0,0.85712
23,-1,0,-1,0.86731,1,0
24,-1,-99999,-1,0.79354,1,0
25,-1,-99999,-1,0.54059,1,0
26,-1,-99999,-1,0.968,0,0
27,0,-99999,45,0.51809,1,0.77484
28,-1,-99999,-1,0.85429,1,0
29,800,-99999,0,1.1233,1,0.71636
30,-1,0,-1,1.5127,0,0
31,-1,-99999,-1,0.57849,1,0
32,0,0,0,2.0828,0,1.0678
33,-1,-99999,-1,0.57356,1,0
34,-1,0,-1,0.50363,1,0
35,-1,-99999,-1,0.559,1,0
36,800,-99999,-45,0.75472,0,0.99583
37,0,0,0,0.99846,0,1.2073
38,0,-99999,0,0.5291,1,0.81003
39,-1,-99999,-1,0.72928,0,0
40,0,0,0,0.84742,1,1.1124
41,-1,-99999,-1,0.52126,1,0
42,-1,-99999,-1,0.50737,1,0
43,-1,-99999,-1,1.5957,1,0
44,-1,-99999,-1,0.47587,1,0
45,800,-99999,0,1.2497,1,0.77883
46,-1,0,-1,0.63735,1,0
47,-1,0,-1,1.0196,1,0
48,-1,-99999,-1,0.64227,1,0
49,-1,-99999,-1,0.54603,1,0
50,-1,0,-1,0.79791,1,0
51,-1,-99999,-1,0.86644,1,0
52,0,0,45,1.2454,1,0.97452
53,-1,-99999,-1,0.69989,1,0
54,-1,0,-1,0.579,1,0
55,-1,-99999,-1,0.80326,1,0
56,0,0,0,0.49381,1,0.86287
57,-1,-99999,-1,0.73391,1,0
58,-1,-99999,-1,0.66106,1,0
59,-1,-99999,-1,0.80496,0,0
60,-1,-99999,-1,0.9988,1,0
61,0,-99999,-45,3.9984,NaN,0.82844
62,-1,0,-1,1.489,0,0
63,0,0,-45,1.4936,0,0.74271
64,0,-99999,45,0.63829,1,0.87917
65,-1,0,-1,0.54111,1,0
66,-1,0,-1,0.4989,1,0
67,-1,-99999,-1,0.59839,0,0
68,-1,-99999,-1,1.3768,0,0
69,-1,-99999,-1,0.81856,1,0
70,0,-99999,0,0.79365,1,0.93861
71,-1,-99999,-1,0.76069,1,0
72,800,-99999,-45,1.0851,0,1.2861
1,800,-99999,45,0.75092,1,1.264
2,800,-99999,0,0.7788,1,0.99611
3,0,0,0,0.77763,0,0.99458
4,-1,-99999,-1,1.1097,1,0
5,0,0,-45,0.83777,0,1.0548
6,-1,-99999,-1,0.78705,1,0
7,800,-99999,45,0.49737,1,0.70624
8,-1,-99999,-1,0.42669,1,0
9,0,0,45,2.1099,1,0.96706
10,-1,-99999,-1,0.95571,1,0
11,0,-99999,0,0.59274,1,0.80172
12,-1,-99999,-1,1.0898,1,0
13,-1,0,-1,0.98821,1,0
14,-1,-99999,-1,0.61081,1,0
15,800,-99999,0,0.60149,1,0.84246
16,800,-99999,-45,0.54864,1,0.74959
17,-1,-99999,-1,0.74023,1,0
18,-1,0,-1,0.48349,1,0
19,0,0,0,0.71894,0,0.99185
20,-1,0,-1,1.0721,0,0
21,-1,0,-1,0.45876,1,0
22,-1,0,-1,0.68837,0,0
23,-1,0,-1,0.66782,1,0
24,-1,-99999,-1,0.70797,1,0
25,-1,-99999,-1,0.46576,1,0
26,-1,-99999,-1,0.92146,1,0
27,-1,0,-1,0.50314,1,0
28,-1,-99999,-1,0.7594,1,0
29,-1,-99999,-1,1.0403,1,0
30,-1,-99999,-1,0.69702,1,0
31,-1,-99999,-1,0.58028,1,0
32,0,-99999,0,1.2669,1,0.75595
33,-1,0,-1,0.52367,1,0
34,0,-99999,-45,0.43635,1,0.75733
35,-1,0,-1,0.53486,1,0
36,-1,-99999,-1,0.68659,0,0
37,-1,0,-1,0.54643,0,0
38,-1,-99999,-1,0.56465,0,0
39,0,-99999,0,0.58643,1,0.83503
40,800,-99999,0,0.99982,1,0.6969
41,-1,-99999,-1,0.62835,1,0
42,-1,-99999,-1,0.48694,1,0
43,-1,-99999,-1,0.70105,0,0
44,0,-99999,0,0.4588,1,0.71575
45,-1,-99999,-1,0.8374,1,0
46,-1,-99999,-1,0.46347,1,0
47,-1,-99999,-1,0.60153,1,0
48,0,0,0,0.42191,1,0.71899
49,-1,0,-1,0.57074,1,0
50,-1,-99999,-1,0.87503,0,0
51,0,0,45,1.0932,1,0.77443
52,-1,-99999,-1,0.9294,0,0
53,800,-99999,-45,0.52911,1,0.7621
54,0,0,0,0.58985,1,1.2709
55,-1,-99999,-1,0.89636,1,0
56,-1,-99999,-1,0.41842,1,0
57,-1,-99999,-1,0.72926,1,0
58,800,-99999,0,0.66626,1,0.93918
59,-1,-99999,-1,0.77481,1,0
60,-1,0,-1,0.97003,1,0
61,0,-99999,45,1.0028,1,1.2598
62,0,-99999,45,0.93542,0,1.1525
63,-1,0,-1,0.68697,1,0
64,-1,0,-1,0.50077,1,0
65,-1,-99999,-1,0.5289,1,0
66,-1,0,-1,0.43815,1,0
67,-1,-99999,-1,0.86122,1,0
68,0,0,-45,0.90178,1,1.1428
69,-1,-99999,-1,0.62557,1,0
70,-1,0,-1,0.62005,1,0
71,0,-99999,-45,1.2358,1,0.94916
72,-1,-99999,-1,0.73048,1,0
1,-1,-99999,-1,0.63374,1,1.2986
2,-1,-99999,-1,0.55924,1,0
3,-1,-99999,-1,0.52227,0,0
4,800,-99999,-45,0.49927,1,0.83634
5,-1,-99999,-1,0.5045,1,0
6,0,-99999,45,0.97934,1,0.65252
7,-1,-99999,-1,0.47604,1,0
8,0,-99999,0,0.49655,1,0.82564
9,-1,-99999,-1,0.84922,1,0
10,-1,-99999,-1,0.98407,1,0
11,-1,0,-1,0.45742,1,0
12,-1,-99999,-1,0.79121,1,0
13,-1,-99999,-1,0.70346,1,0
14,800,-99999,45,0.59246,1,0.83341
15,-1,0,-1,0.51538,1,0
16,-1,-99999,-1,0.47878,1,0
17,-1,0,-1,0.69834,1,0
18,-1,-99999,-1,0.40185,1,0
19,800,-99999,0,1.1669,1,0.8803
20,0,-99999,-45,1.2551,0,0.79251
21,0,-99999,45,0.56248,1,0.81141
22,-1,0,-1,0.93658,0,0
23,-1,-99999,-1,0.69364,1,0
24,-1,-99999,-1,0.78081,1,0
25,-1,-99999,-1,0.45403,1,0
26,0,0,0,0.93653,0,1.2576
27,-1,-99999,-1,0.44715,1,0
28,800,-99999,0,0.69574,1,0.96869
29,-1,0,-1,0.96757,0,0
30,-1,-99999,-1,0.74787,1,0
31,-1,-99999,-1,0.50836,1,0
32,800,-99999,45,1.2691,1,0.77413
33,-1,0,-1,0.59748,1,0
34,-1,0,-1,0.51764,1,0
35,-1,-99999,-1,0.58471,1,0
36,-1,-99999,-1,0.99085,0,0
37,0,-99999,0,0.78318,0,1.1122
38,-1,0,-1,0.72796,1,0
39,0,0,0,0.73521,0,1.0639
40,-1,-99999,-1,0.72704,1,0
41,-1,0,-1,0.58828,1,0
42,-1,-99999,-1,0.59896,1,0
43,-1,0,-1,0.85535,0,0
44,-1,0,-1,0.50126,1,0
45,-1,0,-1,0.66304,1,0
46,0,0,45,0.57105,1,0.90807
47,0,0,0,1.115,1,1.364
48,-1,-99999,-1,0.4718,1,0
49,0,0,0,0.45048,1,0.93158
50,800,-99999,0,1.2919,1,0.95706
51,0,0,-45,1.5452,0,1.0263
52,-1,-99999,-1,0.8686,1,0
53,0,-99999,0,0.69157,1,0.91648
54,-1,0,-1,0.49718,1,0
55,-1,-99999,-1,0.60145,1,0
56,-1,-99999,-1,0.51207,1,0
57,-1,-99999,-1,0.78869,1,0
58,800,-99999,0,0.51652,1,0.78952
59,0,0,45,1.1778,0,0.83487
60,-1,-99999,-1,1.0786,0,0
61,-1,0,-1,0.68138,1,0
62,-1,-99999,-1,0.77649,1,0
63,-1,0,-1,0.83179,1,0
64,-1,0,-1,0.47875,1,0
65,0,-99999,-45,0.50375,1,0.83285
66,-1,-99999,-1,0.493,1,0
67,0,0,-45,1.453,0,0.91819
68,-1,-99999,-1,0.7242,1,0
69,-1,-99999,-1,0.5587,1,0
70,-1,-99999,-1,0.46701,1,0
71,0,-99999,0,1.1444,1,0.82559
72,800,-99999,-45,0.69307,0,1.0381
